name;address;gmap_id;description;latitude;longitude;category;avg_rating;num_of_reviews;price;hours;MISC;state;relative_results;url
Lush Family Dental;Lush Family Dental, 2505 SE Encompass Dr, Waukee, IA 50263;0x87ec2394c2cd9d2d:0xd1119cfbee0da6f3;;41.5852916;-93.8551126;['Dentist', 'Cosmetic dentist', 'Dental clinic'];5.0;178;;[['Thursday', '7AM–4PM'], ['Friday', '8AM–12PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–7PM'], ['Tuesday', '7AM–4PM'], ['Wednesday', '7AM–12PM']];{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible restroom'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 4PM;['0x87ec2482098b661f:0xacadacaa27d2c8d0', '0x87ee9e4152357eed:0x40e1937c6fc72922', '0x87ec258ae3a6606d:0x9be37b3fca78e967', '0x87ec21b44fdeb0c9:0x1f62e6511836e388'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ec2394c2cd9d2d:0xd1119cfbee0da6f3?authuser=-1&hl=en&gl=us
515 Auto Shades;515 Auto Shades, 5770 Metro E Dr, Pleasant Hill, IA 50327;0x87ee95d1e474531b:0xb432dd96285cdc6b;;41.606082;-93.4986302;['Auto glass shop', 'Window tinting service'];5.0;28;;[['Thursday', '9AM–6PM'], ['Friday', '9AM–6PM'], ['Saturday', '9AM–6PM'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM']];{'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 6PM;;https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ee95d1e474531b:0xb432dd96285cdc6b?authuser=-1&hl=en&gl=us
Lena’s Beauty Nails Lashes Brows;Lena’s Beauty Nails Lashes Brows, 657 NE Venture Dr, Waukee, IA 50263;0x87ec2481df6626b5:0xff5627745308ec2b;;41.6163101;-93.858345;['Beauty salon'];4.2;128;;[['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–6PM'], ['Sunday', '11AM–4PM'], ['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM']];{'Health & safety': ['Appointment required'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 7PM;['0x87ec20ce836cac57:0x83bd66577e9a7a32', '0x87eea2be907f516d:0xd47419a1b965ba30', '0x87ee9d15b028165b:0x1ae79d0e2a7b8781', '0x87ee9e4ff56fef3f:0x483c7c0a12678fa9', '0x87ec21932483f0af:0xe5d6cc918aabd32e'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x87ec2481df6626b5:0xff5627745308ec2b?authuser=-1&hl=en&gl=us
Black Tie Ski Rental Delivery of Mammoth;Black Tie Ski Rental Delivery of Mammoth, 501 Old Mammoth Rd #9, Mammoth Lakes, CA 93546;0x80960c29f2e3bf29:0x4b291f0d275a5699;;37.638754399999996;-118.96605509999999;['Ski rental service', 'Snowboard rental service'];5.0;34;;[['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', '8AM–5PM'], ['Sunday', '8AM–5PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 5PM;['0x80960dcd6ba76731:0x9a6875ced2f9228e', '0x80960dcc6a497a53:0xa510d5cb3c6f514', '0x80960c32dd928bad:0x9d4d43e9fb2b6c61', '0x80960dcb9248a4bf:0x5a8357852617ce5c', '0x80960dcd19859843:0x1f0f5078517e9aa5'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x80960c29f2e3bf29:0x4b291f0d275a5699?authuser=-1&hl=en&gl=us
NTK OUTDOOR;NTK OUTDOOR, 2315 NW 107th Ave #1B18, Miami, FL 33172;0x88d9beb4fe0532c1:0xef0555c169299d6;;25.7952041;-80.3660381;['Corporate office'];5.0;35;;[['Thursday', '9AM–6PM'], ['Friday', '9AM–6PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 6PM;['0x88d9bfd49a624c3f:0x280afc17e8164d79', '0x88d9c7563888ef99:0x440bf516515fe757', '0x88d9b976be955555:0xeb91387a2e0fd6c7', '0x88d9c479aab5786b:0x75407929e4a60980', '0x88d9087c89317ff5:0x3a68ef7b70c0b18'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9beb4fe0532c1:0xef0555c169299d6?authuser=-1&hl=en&gl=us
Angel-A Massage;Angel-A Massage, 5329 Dewey Dr, Fair Oaks, CA 95628;0x809adef58ae560bd:0x83412889e022ff70;;38.6626297;-121.3086388;['Massage spa', 'Chiropractor', 'Massage', 'Massage therapist', 'Medical clinic'];4.3;6;;[['Thursday', '9:30AM–9:30PM'], ['Friday', '9:30AM–9:30PM'], ['Saturday', '9:30AM–9:30PM'], ['Sunday', '10AM–8PM'], ['Monday', '10AM–9:30PM'], ['Tuesday', '10AM–9:30PM'], ['Wednesday', '9:30AM–9:30PM']];;Open ⋅ Closes 9:30PM;['0x809adee9ac6f1bd7:0xe2e56d16919b9b8d', '0x809ade27605defc1:0xdedc5626a281fd93', '0x809ade94e408288b:0xffef63e3b6d71ced', '0x809ade549eb5f62b:0x88ea57ed966f9c6', '0x809ade7192ece6ef:0xee80bbb2aba77a09'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809adef58ae560bd:0x83412889e022ff70?authuser=-1&hl=en&gl=us
Dunn-Edwards Paints;Dunn-Edwards Paints, 1850 Douglas Blvd #200, Roseville, CA 95661;0x809b1ff6d3a60c4d:0xdf08e68028807693;Chain selling interior & exterior paints, primers & finishes, plus supplies.;38.7434619;-121.2587612;['Paint store', 'Paint manufacturer'];4.7;26;;[['Thursday', '6:30AM–5PM'], ['Friday', '6:30AM–5PM'], ['Saturday', '7AM–3PM'], ['Sunday', 'Closed'], ['Monday', '6:30AM–5PM'], ['Tuesday', '6:30AM–5PM'], ['Wednesday', '6:30AM–5PM']];{'Service options': ['Curbside pickup', 'In-store pickup', 'In-store shopping', 'Same-day delivery'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Offerings': ['Service guarantee'], 'Planning': ['Quick visit'], 'Payments': ['Checks', 'Debit cards']};Open ⋅ Closes 5PM;['0x809b201630f90839:0x7ea3f228461b6c30', '0x809b20224fdcaea7:0x9a3eb19637e70fa7', '0x809adf8dc37211bf:0xf9b2d3afdde9c922', '0x809b1f1df63e85a1:0x6252da1a84598a4e'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809b1ff6d3a60c4d:0xdf08e68028807693?authuser=-1&hl=en&gl=us
Elite Massage;Elite Massage, 8121 Madison Ave, Fair Oaks, CA 95628;0x809ae0a7ce91433b:0xe4b44fbb8c35ba57;;38.6649155;-121.2601916;['Massage therapist'];5.0;1;;;;;['0x809ade27605defc1:0xdedc5626a281fd93', '0x809ae71889e4ed0b:0x392e93328cc902ef', '0x809ade549eb5f62b:0x88ea57ed966f9c6', '0x809ade17728aea01:0x7a203d3a80fdb40'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ae0a7ce91433b:0xe4b44fbb8c35ba57?authuser=-1&hl=en&gl=us
PODS Sacramento Hub;PODS Sacramento Hub, 5000 Patrol Rd, McClellan Park, CA 95652;0x809ad95924805cf7:0xb424019b8961719d;;38.658994;-121.4129579;['Corporate office'];4.0;8;;;{'Accessibility': ['Wheelchair accessible entrance']};Open now;['0x809ad8fc85a035cf:0xc9cfca7402486e7b', '0x809ad84819a98cb1:0x85e9a37325a7ca60', '0x809ad38e4162380b:0x222ff6775e08c23d', '0x809add800185b6af:0xb5308349c0563364', '0x809adac156cfde8f:0x63fc986b663f9bee'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ad95924805cf7:0xb424019b8961719d?authuser=-1&hl=en&gl=us
Happy Spa & Massage (Formerly Hawaii Massage & Spa);Happy Spa & Massage (Formerly Hawaii Massage & Spa), 910 Pleasant Grove Blvd #150, Roseville, CA 95678;0x809b217a6cbe4fa9:0x9fd06999c64c1815;;38.7855482;-121.2868859;['Massage therapist', 'Massage spa', 'Spa'];2.7;8;;[['Thursday', '9:30AM–10PM'], ['Friday', '9:30AM–10PM'], ['Saturday', '9:30AM–10PM'], ['Sunday', '9:30AM–10PM'], ['Monday', '9:30AM–10PM'], ['Tuesday', '9:30AM–10PM'], ['Wednesday', '9:30AM–10PM']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 10PM;['0x809b20410d8df0fb:0x60610399a7ec1ba6', '0x809b21bde07d8e63:0x28705b9926cdcff5', '0x809b21de16c061d5:0xe980533041b75e8b', '0x809b20ff08d0f455:0x73fefacf60326d89'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809b217a6cbe4fa9:0x9fd06999c64c1815?authuser=-1&hl=en&gl=us
SUSY massage;SUSY massage, 4118 Manzanita Ave, Carmichael, CA 95608;0x809adfe022389d79:0x388b21219097be6c;;38.6388959;-121.32676769999999;['Massage therapist'];3.5;8;;[['Thursday', '9AM–10PM'], ['Friday', '9AM–10PM'], ['Saturday', '9AM–10PM'], ['Sunday', '9AM–10PM'], ['Monday', '9AM–10PM'], ['Tuesday', '9AM–10PM'], ['Wednesday', '9AM–10PM']];{'Health & safety': ['Mask required', 'Staff wear masks'], 'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 10PM;['0x809adc20fc2e54a1:0xb2758d3d6578b2bf', '0x809ade98e04072ff:0xa84e096d7625ebf7', '0x809ade9d6dc6ed7b:0x51ba0bb924fe88b4', '0x809ade9ed216471d:0x401ded60d7fec1ca'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809adfe022389d79:0x388b21219097be6c?authuser=-1&hl=en&gl=us
Aurora Massage;Aurora Massage, 2033 Marconi Ave, Sacramento, CA 95821;0x809ad993cd15cc69:0x38291ec9a11f59ed;;38.619556599999996;-121.41786809999999;['Massage therapist'];4.2;56;;[['Thursday', '9:30AM–9:30PM'], ['Friday', '9:30AM–9:30PM'], ['Saturday', '9:30AM–9:30PM'], ['Sunday', '9:30AM–9:30PM'], ['Monday', '9:30AM–9:30PM'], ['Tuesday', '9:30AM–9:30PM'], ['Wednesday', '9:30AM–9:30PM']];;Open ⋅ Closes 9:30PM;['0x809ad98790eb83dd:0x8eb586953d1b8f1a', '0x809ad993cbfd3b07:0x8957c68b56e2d414', '0x809ad6fb3b3622b3:0x5d0dd70f7cdcb257', '0x809ad090c0b9b401:0x4300d2c94496ed7a', '0x809ad96b47ca4cf3:0x23dab90add125c79'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ad993cd15cc69:0x38291ec9a11f59ed?authuser=-1&hl=en&gl=us
J B Oriental Inc;J B Oriental Inc, 3031 Foothills Blvd, Roseville, CA 95747;0x809b20f8059f58af:0xf05aed524fd9b93c;;38.7452513;-121.30797059999999;['Massage spa', 'Massage therapist'];4.2;6;;[['Thursday', '9:30AM–10PM'], ['Friday', '9:30AM–10PM'], ['Saturday', '9:30AM–10PM'], ['Sunday', '9:30AM–10PM'], ['Monday', '9:30AM–10PM'], ['Tuesday', '9:30AM–10PM'], ['Wednesday', '9:30AM–10PM']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 10PM;['0x809b20ff08d0f455:0x73fefacf60326d89', '0x809b1ff000000001:0x42521000315d8d87', '0x809b1ff41adda3c1:0x80c44bd1ec074ebc'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809b20f8059f58af:0xf05aed524fd9b93c?authuser=-1&hl=en&gl=us
Orient Massage;Orient Massage, 5800 Madison Ave # U2, Sacramento, CA 95841;0x809adee9ac6f1bd7:0xe2e56d16919b9b8d;;38.659634499999996;-121.32781159999999;['Massage therapist'];3.6;15;;[['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–8PM'], ['Sunday', '10AM–8PM'], ['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM']];;Open ⋅ Closes 8PM;['0x809adbdf98578945:0x65a15e8def486b6e', '0x809ad98790eb83dd:0x8eb586953d1b8f1a', '0x809ade549eb5f62b:0x88ea57ed966f9c6', '0x809ade94e408288b:0xffef63e3b6d71ced', '0x809adef58ae560bd:0x83412889e022ff70'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x809adee9ac6f1bd7:0xe2e56d16919b9b8d?authuser=-1&hl=en&gl=us
Timewise Food Store;Timewise Food Store, 1600 W Church St, Livingston, TX 77351;0x8638869e6b4e3529:0xe8d257447fe41672;;30.7133683;-94.95434449999999;['Convenience store'];4.8;4;;[['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours']];{'Service options': ['In-store shopping', 'Delivery'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Quick visit']};Open 24 hours;['0x863886bab3f9bb05:0x28a8062d0597dd34', '0x863885d5cb215669:0xac2b447ce94e59d0', '0x863886826e06e30d:0xa09571ccb6a2db2c', '0x86388660e6fa7629:0x9155547afa801fbc'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8638869e6b4e3529:0xe8d257447fe41672?authuser=-1&hl=en&gl=us
KeyMe Locksmiths;KeyMe Locksmiths, 6652 Youree Dr, Shreveport, LA 71105;0x86312d61f5ac28b5:0x5e6c55690b65096a;;32.446999999999996;-93.72529999999999;['Locksmith', 'Emergency locksmith service', 'Key duplication service', 'Security system installer'];4.0;17;;[['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours']];;Open 24 hours;['0x8636d3d924fc5dfb:0x24ad8c61ee4e54ce', '0x8636ccdddd40d579:0xca8be38f451e4e77', '0x86372bd5c22c6f5b:0xf71f07fb6f5ceef5', '0x8631336382a5f9fd:0xf33092b3c6b86c0'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x86312d61f5ac28b5:0x5e6c55690b65096a?authuser=-1&hl=en&gl=us
Fontenot Home Inspection;Fontenot Home Inspection, 799 Wafer Rd, Saline, LA 71070;0x863050a2977a797d:0x8206eda0d4f6207;;32.1489602;-92.9982225;['Home inspector'];5.0;18;;[['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours']];;Open 24 hours;['0x86306bb81a7bdbf7:0xe3952819b9bddfee', '0x86307d456f28a979:0x6719277a0fd27596', '0x8631d03654771307:0xfdf156f411a37ce6', '0x8631198d1756b81d:0x265eb4b605787e78'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x863050a2977a797d:0x8206eda0d4f6207?authuser=-1&hl=en&gl=us
Basinger Family Dentistry: Brian Basinger, DDS;Basinger Family Dentistry: Brian Basinger, DDS, 818 Pierremont Rd, Shreveport, LA 71106;0x8636d2cbbf059b25:0xfb596a49eb5ae043;;32.455013;-93.747332;['Cosmetic dentist', 'Dentist'];5.0;33;;[['Thursday', '8AM–5PM'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM']];{'Health & safety': ['Appointment required', 'Mask required', 'Temperature check required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']};Open ⋅ Closes 5PM;['0x8636d379d880cab5:0xf28cd60c259db173', '0x86312ce803f6842f:0xa9ca35b514e2a783', '0x86312d58857db121:0x6f1edc683818f5c3', '0x86312d06b760d56f:0xc8751e4ecb5d416', '0x86312d166290cfa1:0x2a573ec8dad8edbb'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8636d2cbbf059b25:0xfb596a49eb5ae043?authuser=-1&hl=en&gl=us
Caddo Parish Assessor's Office;Caddo Parish Assessor's Office, 501 Texas St, Shreveport, LA 71101;0x8636cd31728dc371:0x634bad3dae8adce6;;32.512067;-93.749732;['Corporate office'];4.8;4;;[['Thursday', '8:30AM–4:55PM'], ['Friday', '8:30AM–4:55PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–4:55PM'], ['Tuesday', '8:30AM–4:55PM'], ['Wednesday', '8:30AM–4:55PM']];{'Accessibility': ['Wheelchair accessible entrance']};Open ⋅ Closes 4:55PM;['0x8636cd31728dc371:0x5c6d8a7dd4f4b53c', '0x8631327fb72753cd:0x419d0275b9a1dbb4', '0x86314ab363d1f625:0x90c2885f21a1381b', '0x8636cd31728dc371:0xc04b04fa2537b5a6'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x8636cd31728dc371:0x634bad3dae8adce6?authuser=-1&hl=en&gl=us
Discount Blinds LLC;Discount Blinds LLC, 9221 Ellerbe Rd, Shreveport, LA 71106;0x86312cb6a6be635f:0x1aab9f13de75d762;;32.409448;-93.738176;['Window treatment store', 'Blinds shop'];5.0;74;;[['Thursday', '8:30AM–5PM'], ['Friday', '8:30AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–5PM'], ['Tuesday', '8:30AM–5PM'], ['Wednesday', '8:30AM–5PM']];{'Service options': ['Curbside pickup', 'Delivery', 'In-store pickup', 'In-store shopping'], 'Payments': ['Checks', 'Debit cards', 'Credit cards']};Open ⋅ Closes 5PM;['0x86312d243d3a92e7:0x24d9f75d6698bd10', '0x8631325b478bbf83:0xc9d4d7f0626698bf', '0x86312a5a9440c7c5:0x485c3a0d4f3a5232', '0x86312d439a52bfff:0x9f7aded1ca9d1324', '0x86312c64bd8be9c1:0xc7981ba60442814e'];https://www.google.com/maps/place//data=!4m2!3m1!1s0x86312cb6a6be635f:0x1aab9f13de75d762?authuser=-1&hl=en&gl=us
